canton,ville,abb_station,latitude,longitude,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
AG,Aarau,BUS,47.384381,8.07955,2025-01-01 00:00:00,0.6,-2.3,4.8,,,,7.4,24.1,1029.3,204
AG,Aarau,BUS,47.384381,8.07955,2025-01-02 00:00:00,3.1,-0.8,6.7,,,,13.2,59.3,1019,25
AG,Aarau,BUS,47.384381,8.07955,2025-01-03 00:00:00,0.4,-2.6,2,,,,3.1,20.4,1024.5,72
AG,Aarau,BUS,47.384381,8.07955,2025-01-04 00:00:00,-2.7,-4.6,-0.6,,,,2.8,14.8,1022.6,21
AG,Aarau,BUS,47.384381,8.07955,2025-01-05 00:00:00,4.2,-0.3,9.5,,,,7.1,24.1,1008.1,3
AG,Aarau,BUS,47.384381,8.07955,2025-01-06 00:00:00,4.4,0.5,7.2,,,,6.2,25.9,1002,1
AG,Aarau,BUS,47.384381,8.07955,2025-01-07 00:00:00,5.3,3.3,7,,,,11.1,40.8,1009.4,91
AG,Aarau,BUS,47.384381,8.07955,2025-01-08 00:00:00,7.2,3.6,10,,,,12,48.2,1006.8,0
AG,Aarau,BUS,47.384381,8.07955,2025-01-09 00:00:00,7.4,0.9,9.3,,,,12.7,50,1007.4,0
AG,Aarau,BUS,47.384381,8.07955,2025-01-10 00:00:00,1.3,0.4,2.7,,,,2.9,24.1,1022,39
AG,Aarau,BUS,47.384381,8.07955,2025-01-11 00:00:00,-0.6,-3,1.4,,,,3.3,16.7,1026.3,271
AG,Aarau,BUS,47.384381,8.07955,2025-01-12 00:00:00,-2,-4.8,0.7,,,,4.5,22.2,1037.1,180
AG,Aarau,BUS,47.384381,8.07955,2025-01-13 00:00:00,-2.2,-3.9,0.4,,,,9,33.3,1039.6,317
AG,Aarau,BUS,47.384381,8.07955,2025-01-14 00:00:00,-3.3,-5.2,-0.1,,,,3.2,13,1037.4,173
AG,Aarau,BUS,47.384381,8.07955,2025-01-15 00:00:00,-1.4,-5.2,2,,,,3.4,16.7,1034,28
AG,Aarau,BUS,47.384381,8.07955,2025-01-16 00:00:00,2,1,2.7,,,,7.6,27.8,1034.5,8
AG,Aarau,BUS,47.384381,8.07955,2025-01-17 00:00:00,0.8,-0.3,1.7,,,,4.4,14.8,1036.7,5
AG,Aarau,BUS,47.384381,8.07955,2025-01-18 00:00:00,-0.1,-1.1,1.1,,,,3.8,14.8,1031.6,36
AG,Aarau,BUS,47.384381,8.07955,2025-01-19 00:00:00,-0.8,-1.7,0.5,,,,2,9.3,1024.9,23
AG,Aarau,BUS,47.384381,8.07955,2025-01-20 00:00:00,-0.2,-2.7,2.3,,,,2.6,11.1,1022.1,33
AG,Aarau,BUS,47.384381,8.07955,2025-01-21 00:00:00,-0.9,-2.5,1.8,,,,2.9,14.8,1020.2,88
AG,Aarau,BUS,47.384381,8.07955,2025-01-22 00:00:00,0.2,-1,1.5,,,,2.6,9.3,1013.5,0
AG,Aarau,BUS,47.384381,8.07955,2025-01-23 00:00:00,3.3,0.5,6.5,,,,5.6,25.9,1012.7,41
AG,Aarau,BUS,47.384381,8.07955,2025-01-24 00:00:00,3,-0.5,7.1,,,,3.8,18.5,1016.4,42
AG,Aarau,BUS,47.384381,8.07955,2025-01-25 00:00:00,6.2,1.9,12.7,,,,3.2,16.7,1012,78
AG,Aarau,BUS,47.384381,8.07955,2025-01-26 00:00:00,6.4,4.9,9,,,,7.6,33.3,1012.2,277
AG,Aarau,BUS,47.384381,8.07955,2025-01-27 00:00:00,6.6,5.4,7.8,,,,5.7,20.4,1004.9,4
AG,Aarau,BUS,47.384381,8.07955,2025-01-28 00:00:00,6,4.6,7.9,,,,8.9,35.2,1002.6,29
