canton,ville,abb_station,altitude,date,prcp
AG,Aarau,BUS,387,0000-01-00,63
AG,Aarau,BUS,387,0000-02-00,53
AG,Aarau,BUS,387,0000-03-00,61
AG,Aarau,BUS,387,0000-04-00,63
AG,Aarau,BUS,387,0000-05-00,99
AG,Aarau,BUS,387,0000-06-00,92
AG,Aarau,BUS,387,0000-07-00,98
AG,Aarau,BUS,387,0000-08-00,98
AG,Aarau,BUS,387,0000-09-00,70
AG,Aarau,BUS,387,0000-10-00,72
AG,Aarau,BUS,387,0000-11-00,69
AG,Aarau,BUS,387,0000-12-00,81
UR,Altdorf,ALT,438,0000-01-00,70
UR,Altdorf,ALT,438,0000-02-00,59
UR,Altdorf,ALT,438,0000-03-00,72
UR,Altdorf,ALT,438,0000-04-00,81
UR,Altdorf,ALT,438,0000-05-00,117
UR,Altdorf,ALT,438,0000-06-00,138
UR,Altdorf,ALT,438,0000-07-00,141
UR,Altdorf,ALT,438,0000-08-00,154
UR,Altdorf,ALT,438,0000-09-00,105
UR,Altdorf,ALT,438,0000-10-00,84
UR,Altdorf,ALT,438,0000-11-00,81
UR,Altdorf,ALT,438,0000-12-00,83
AI,Appenzell,APP,750,0000-01-00,84
AI,Appenzell,APP,750,0000-02-00,78
AI,Appenzell,APP,750,0000-03-00,102
AI,Appenzell,APP,750,0000-04-00,107
AI,Appenzell,APP,750,0000-05-00,160
AI,Appenzell,APP,750,0000-06-00,173
AI,Appenzell,APP,750,0000-07-00,181
AI,Appenzell,APP,750,0000-08-00,184
AI,Appenzell,APP,750,0000-09-00,132
AI,Appenzell,APP,750,0000-10-00,105
AI,Appenzell,APP,750,0000-11-00,97
AI,Appenzell,APP,750,0000-12-00,105
BS,Bâle,BAS,316,0000-01-00,48
BS,Bâle,BAS,316,0000-02-00,45
BS,Bâle,BAS,316,0000-03-00,50
BS,Bâle,BAS,316,0000-04-00,64
BS,Bâle,BAS,316,0000-05-00,98
BS,Bâle,BAS,316,0000-06-00,87
BS,Bâle,BAS,316,0000-07-00,89
BS,Bâle,BAS,316,0000-08-00,88
BS,Bâle,BAS,316,0000-09-00,70
BS,Bâle,BAS,316,0000-10-00,74
BS,Bâle,BAS,316,0000-11-00,65
BS,Bâle,BAS,316,0000-12-00,65
TI,Bellinzone,BLZ,224,0000-01-00,62
TI,Bellinzone,BLZ,224,0000-02-00,53
TI,Bellinzone,BLZ,224,0000-03-00,70
TI,Bellinzone,BLZ,224,0000-04-00,131
TI,Bellinzone,BLZ,224,0000-05-00,164
TI,Bellinzone,BLZ,224,0000-06-00,171
TI,Bellinzone,BLZ,224,0000-07-00,151
TI,Bellinzone,BLZ,224,0000-08-00,195
TI,Bellinzone,BLZ,224,0000-09-00,153
TI,Bellinzone,BLZ,224,0000-10-00,159
TI,Bellinzone,BLZ,224,0000-11-00,163
TI,Bellinzone,BLZ,224,0000-12-00,76
BE,Berne,BER,553,0000-01-00,60
BE,Berne,BER,553,0000-02-00,56
BE,Berne,BER,553,0000-03-00,65
BE,Berne,BER,553,0000-04-00,78
BE,Berne,BER,553,0000-05-00,112
BE,Berne,BER,553,0000-06-00,102
BE,Berne,BER,553,0000-07-00,108
BE,Berne,BER,553,0000-08-00,112
BE,Berne,BER,553,0000-09-00,87
BE,Berne,BER,553,0000-10-00,87
BE,Berne,BER,553,0000-11-00,77
BE,Berne,BER,553,0000-12-00,79
ZG,Cham,CHZ,443,0000-01-00,54
ZG,Cham,CHZ,443,0000-02-00,54
ZG,Cham,CHZ,443,0000-03-00,66
ZG,Cham,CHZ,443,0000-04-00,86
ZG,Cham,CHZ,443,0000-05-00,136
ZG,Cham,CHZ,443,0000-06-00,146
ZG,Cham,CHZ,443,0000-07-00,144
ZG,Cham,CHZ,443,0000-08-00,142
ZG,Cham,CHZ,443,0000-09-00,93
ZG,Cham,CHZ,443,0000-10-00,86
ZG,Cham,CHZ,443,0000-11-00,73
ZG,Cham,CHZ,443,0000-12-00,77
JU,Delémont,DEM,439,0000-01-00,53
JU,Delémont,DEM,439,0000-02-00,50
JU,Delémont,DEM,439,0000-03-00,52
JU,Delémont,DEM,439,0000-04-00,65
JU,Delémont,DEM,439,0000-05-00,93
JU,Delémont,DEM,439,0000-06-00,91
JU,Delémont,DEM,439,0000-07-00,94
JU,Delémont,DEM,439,0000-08-00,96
JU,Delémont,DEM,439,0000-09-00,72
JU,Delémont,DEM,439,0000-10-00,73
JU,Delémont,DEM,439,0000-11-00,69
JU,Delémont,DEM,439,0000-12-00,68
TG,Frauenfeld,FRF,393,0000-01-00,60
TG,Frauenfeld,FRF,393,0000-02-00,56
TG,Frauenfeld,FRF,393,0000-03-00,62
TG,Frauenfeld,FRF,393,0000-04-00,69
TG,Frauenfeld,FRF,393,0000-05-00,107
TG,Frauenfeld,FRF,393,0000-06-00,102
TG,Frauenfeld,FRF,393,0000-07-00,109
TG,Frauenfeld,FRF,393,0000-08-00,108
TG,Frauenfeld,FRF,393,0000-09-00,79
TG,Frauenfeld,FRF,393,0000-10-00,77
TG,Frauenfeld,FRF,393,0000-11-00,72
TG,Frauenfeld,FRF,393,0000-12-00,80
FR,Fribourg,GRA,651,0000-01-00,50
FR,Fribourg,GRA,651,0000-02-00,50
FR,Fribourg,GRA,651,0000-03-00,60
FR,Fribourg,GRA,651,0000-04-00,75
FR,Fribourg,GRA,651,0000-05-00,108
FR,Fribourg,GRA,651,0000-06-00,101
FR,Fribourg,GRA,651,0000-07-00,106
FR,Fribourg,GRA,651,0000-08-00,106
FR,Fribourg,GRA,651,0000-09-00,83
FR,Fribourg,GRA,651,0000-10-00,87
FR,Fribourg,GRA,651,0000-11-00,72
FR,Fribourg,GRA,651,0000-12-00,65
GE,Genève,GVE,411,0000-01-00,73
GE,Genève,GVE,411,0000-02-00,56
GE,Genève,GVE,411,0000-03-00,62
GE,Genève,GVE,411,0000-04-00,67
GE,Genève,GVE,411,0000-05-00,79
GE,Genève,GVE,411,0000-06-00,83
GE,Genève,GVE,411,0000-07-00,79
GE,Genève,GVE,411,0000-08-00,81
GE,Genève,GVE,411,0000-09-00,91
GE,Genève,GVE,411,0000-10-00,97
GE,Genève,GVE,411,0000-11-00,89
GE,Genève,GVE,411,0000-12-00,90
SZ,Gersau,GES,790,0000-01-00,90
SZ,Gersau,GES,790,0000-02-00,97
SZ,Gersau,GES,790,0000-03-00,118
SZ,Gersau,GES,790,0000-04-00,122
SZ,Gersau,GES,790,0000-05-00,180
SZ,Gersau,GES,790,0000-06-00,196
SZ,Gersau,GES,790,0000-07-00,202
SZ,Gersau,GES,790,0000-08-00,203
SZ,Gersau,GES,790,0000-09-00,146
SZ,Gersau,GES,790,0000-10-00,116
SZ,Gersau,GES,790,0000-11-00,119
SZ,Gersau,GES,790,0000-12-00,127
GL,Glaris,GLA,517,0000-01-00,92
GL,Glaris,GLA,517,0000-02-00,80
GL,Glaris,GLA,517,0000-03-00,99
GL,Glaris,GLA,517,0000-04-00,93
GL,Glaris,GLA,517,0000-05-00,132
GL,Glaris,GLA,517,0000-06-00,167
GL,Glaris,GLA,517,0000-07-00,193
GL,Glaris,GLA,517,0000-08-00,193
GL,Glaris,GLA,517,0000-09-00,131
GL,Glaris,GLA,517,0000-10-00,104
GL,Glaris,GLA,517,0000-11-00,101
GL,Glaris,GLA,517,0000-12-00,110
SO,Grenchen,GRE,,0000-01-00
SO,Grenchen,GRE,,0000-02-00
SO,Grenchen,GRE,,0000-03-00
SO,Grenchen,GRE,,0000-04-00
SO,Grenchen,GRE,,0000-05-00
SO,Grenchen,GRE,,0000-06-00
SO,Grenchen,GRE,,0000-07-00
SO,Grenchen,GRE,,0000-08-00
SO,Grenchen,GRE,,0000-09-00
SO,Grenchen,GRE,,0000-10-00
SO,Grenchen,GRE,,0000-11-00
SO,Grenchen,GRE,,0000-12-00
AR,Herisau,HES,700,0000-01-00,78
AR,Herisau,HES,700,0000-02-00,73
AR,Herisau,HES,700,0000-03-00,94
AR,Herisau,HES,700,0000-04-00,96
AR,Herisau,HES,700,0000-05-00,146
AR,Herisau,HES,700,0000-06-00,166
AR,Herisau,HES,700,0000-07-00,168
AR,Herisau,HES,700,0000-08-00,161
AR,Herisau,HES,700,0000-09-00,120
AR,Herisau,HES,700,0000-10-00,97
AR,Herisau,HES,700,0000-11-00,89
AR,Herisau,HES,700,0000-12-00,99
VD,Lausanne,LSN,601,0000-01-00,82
VD,Lausanne,LSN,601,0000-02-00,68
VD,Lausanne,LSN,601,0000-03-00,73
VD,Lausanne,LSN,601,0000-04-00,85
VD,Lausanne,LSN,601,0000-05-00,112
VD,Lausanne,LSN,601,0000-06-00,108
VD,Lausanne,LSN,601,0000-07-00,106
VD,Lausanne,LSN,601,0000-08-00,107
VD,Lausanne,LSN,601,0000-09-00,101
VD,Lausanne,LSN,601,0000-10-00,115
VD,Lausanne,LSN,601,0000-11-00,105
VD,Lausanne,LSN,601,0000-12-00,103
BL,Rünenberg,RUE,611,0000-01-00,55
BL,Rünenberg,RUE,611,0000-02-00,49
BL,Rünenberg,RUE,611,0000-03-00,58
BL,Rünenberg,RUE,611,0000-04-00,74
BL,Rünenberg,RUE,611,0000-05-00,111
BL,Rünenberg,RUE,611,0000-06-00,101
BL,Rünenberg,RUE,611,0000-07-00,108
BL,Rünenberg,RUE,611,0000-08-00,108
BL,Rünenberg,RUE,611,0000-09-00,82
BL,Rünenberg,RUE,611,0000-10-00,79
BL,Rünenberg,RUE,611,0000-11-00,73
BL,Rünenberg,RUE,611,0000-12-00,72
OW,Sarnen,SRN,471,0000-01-00,56
OW,Sarnen,SRN,471,0000-02-00,52
OW,Sarnen,SRN,471,0000-03-00,61
OW,Sarnen,SRN,471,0000-04-00,78
OW,Sarnen,SRN,471,0000-05-00,119
OW,Sarnen,SRN,471,0000-06-00,142
OW,Sarnen,SRN,471,0000-07-00,147
